buyer_address,buyer_shares,buyer_uint_term
0x741a065BD49920C1C0031933DBc0a9cA389b4b7c,55,7776000
0x7DC130E21cf30C5e3ADfC46664f55ff2c49502dd,75,55123198
0x21015C4d9e93ee0a643DaB28052FE321c700281A,115,126144000
0xa48156BaFf6284D8B77285EE6a93044F80Caff69,144,126144000
0xd6B28c6e0dfa65C974363f0a9f8AB634eD313b6C,57,7776000
0x3BDda96e2e17f5bE3dC78cB82CDa7C464cE8e56E,115,126144000
0x0F279Bb6be5Be8cF440470a7F3E3db037F7A9D0E,60,7776000
0x91Da6e81511F11AcE77BbBA1A7e55f9e905da960,60,7776000
0x60fB4B046b07cE529fb93598286339873d26DD0C,331,29310739
0xe73f51013d52B206DF6d3184cCC46ea3D46B059F,59,7776000
0xA719DB5B3B6AC2a7d077c5f5286f865CA7B2E248,101,5006922
0xeb9388d07d794E2293ae39980E0B2C0001Fd4225,59,7776000
0xB2515a7221b2654F9Faae0E4eD1d0E49Aa7B85DD,59,7776000
0x109F7b02942800844B4Ee7Fc054628F129f9091F,74,15773837
0x488829C889abc6a3B01C6DB68966f1638C6f6A2a,62,7776000
0xe2E9BaA8955F617f1c3BFaa62Cba2bC2D3fd124f,142,126144000
0x58db33471586D8b2bfF21Da3bE1Eca919Cb2eb63,61,7776000
0xBF7725eCE8c2fa6023882Bb8B7D94a21b80c7E3d,60,7776000
0x88d403358ED7ee24FF31e173b706e3045b08cF6d,62,7776000
0x94F2F4F1DD3a82CA959b0E18741E7926803b63BB,75,7776000
0x4acCC4f0781594dEB1C382EA8a04B566927CfbED,150,126144000
0x6e7E9A6424FC4ED9fE0Ef6914E5ca42290a3660d,279,59509161
0xC7775BC0ab8af68d75A2165334bd7e68dCED9951,70,7776000
0x97041728D56a7cff259F04D50e1394663F40548e,99,90274907
0x4167F26312c8fe15Bf4B04c0e7E8958734Eb6931,70,7776000
0x2A87ef1811B888AAbc899a51775f90C83795e23C,66,7775999
0xB9328Ae4FfadFad326Eb39AA25429760Ea28d043,138,125286260
0x1D4C3b9F8F49D6Ac44e398F766F520a3CDB0f3D5,75,7776000
0xFa461CF771ed43A1159ddfEF0da8032fd720902e,75,7776000
0x6dE71cAEF91a77eFA2dAd5eE33aC9Be53d1047eD,76,7776000
0x87c6F3dC2b69d7D46a8D63217c47b8E926dfC758,70,7776000
0x256e3C3987719cCa30604e2A4b34F57058472803,70,7776000
0xDC88CE5690f420bfCd7B0f07E5a761e6F26e0594,75,9359998
0xD10d4F616f0a749828Ac1d0bD9ad77E7e3DB6304,75,7776000
0xB34d0BFE6E941185e2F5Cc9BbC2E21656905754E,570,6487578
0x8C7a95Ca8837350F41c706459E6dED9388f208c5,72,7776000
0x213A8b4A4719D7C74377Bb2a582e7Aa1c5d4d6e4,146,126144000
