tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0x1b2fecae07d244094b7291545f3b7665d3b8ae12e72ea5aa02d6f60efc50fe24,0xff18f386A5412A1404542936D8Be8FbfEC350fF4,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1400000000000000000,2417000000000000000000,0,1707876063,54837149
0x90b6b21127bfb049cf9bec644841f0b641081a834f0c38975d91a61a6bbfcab5,0xBa06CD08589f7aE5827d72026107c5B903A088Ce,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1720115090396353418351,500465000000000000000,2,1707864356,54799765
0x914606f94f0e7d4d5ee1009b2e4f32ee25f21379fb32e6d16e40957dffd9c209,0xBa06CD08589f7aE5827d72026107c5B903A088Ce,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1000000000000000000000,407000000000000000000,0,1707863763,54797611
0x5bf73a9bb2ca4ebcaf39079e2bcfc1f971fb62ad845fc2e607cfd6834c87aa1f,0xA5b5B85f0C5209998Be7aa72e17f0Ae289bc71bA,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0,0,1,1707839863,54732353
0x7fc29f1f501f5c2c6a7a312268705c1bcdf4c86dc3b8b825fd4a50cdb13911ad,0xA5b5B85f0C5209998Be7aa72e17f0Ae289bc71bA,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,10145361425550075260,107963462237386672554,2,1707839588,54731638
0x61160922ec0f19ea8bac321e597a06d9757787b73a39a7c832a8d0c6db595c11,0x91f4e48384F775B819C77C4901Db6CA6e2E92B80,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,77632721,66305000000000000000,2,1707822403,54678111
0xc5f220f7749903c5bf009e858ea43836940c619e905cbf0a61c2ea7e107ba7d6,0xFe5000A4E2cD553Fc8cE9133de0ce80C6Ffc4FC8,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3691703457012880768,7542500000000000000000,0,1707814002,54644623
0x1b9433d82eb5eee72fbbe6f94c2c98a98fea1bd4330181d1831a689098283ec7,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,5741850570,4527500000000000000000,0,1707810825,54631883
0xb5cade451c41828e60332300d887d784e3cf51d36431898317d574a00d9a58ba,0x6D3B90747dbf5883bF88fF7Eb5fCC86f408b5409,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,6891058340000000000,14678000000000000000000,2,1707806833,54612991
0x2c1d9691807c6de40612d6e9816ea937be6c11b0eedfe355af5503fcf7a041a9,0x4936f33b7B060c7336fD0e4c61316EA248DA6827,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1002000000000000000000,296525000000000000000,2,1707803549,54604183
